Balance_Date,firstpaymentdefaultcnt,firstpaymentoverallobservation,firstpaymentdefault,firstpaymentTotal_Outstanding_Amount,firstpaymenttotalamount,firstpaymentdefaultv,cntsecondinstallmentdefault,secondplusoverallobservation,secondpluspaymentdefault,cntsecondTotal_Outstanding_Amount,secondplustotalamount,secondpluspaymentdefaultv,cnt90plusoveralldefault,totalobservedportfolio,overall90plusdefaultrate,cnt90plusoverallTotal_Outstanding_Amount,totalobservedportfoliototalamount,overall90plusdefaultratev,cnt90plusfrauddefault,totalobservationfraud90plusportfolio,fraud90plusdefaultrate,cnt90plusfrauddefaultTotal_Outstanding_Amount,totalobservationfraud90plusportfoliototalamount,fraud90plusdefaultratev,total90plustdefault2022portfolio,totalobservation2022portfolio,total90plus2022defaultrate,total90plustdefault2022portfolioTotal_Outstanding_Amount,totalobservation2022portfoliototalamount,total90plus2022defaultratev
31-07-2022,14105,19485,0.723890172,541486741.1,977875866.5,0.553737708,2511,18306,0.137168142,66444483.18,934305689.3,0.071116428,13191,19485,0.676982294,528854009,977875866.5,0.540819164,12258,18541,0.661129389,487180241.8,921777404.1,0.528522656,358,5265,0.067996201,10316419.24,206751143.5,0.049897761
31-08-2022,14782,21458,0.688880604,580134421.5,1053900093,0.550464342,3061,19485,0.157095201,80294627.91,985352582.2,0.08148822,13813,21458,0.643722621,570639526.9,1053900093,0.54145505,12870,20428,0.630017623,526774292.5,993943600,0.529984088,830,7238,0.114672561,24420626.98,276485606.1,0.08832513
30-09-2022,15811,24175,0.654022751,628289676.1,1157314738,0.542885747,3606,21458,0.168049212,93395725.61,1061678031,0.087969915,14589,24175,0.603474664,614877409.2,1157314738,0.531296621,13646,23119,0.590250443,569241891.4,1095947396,0.519406217,1480,9955,0.148669011,43075482.02,373700498.1,0.115267393
31-10-2022,16644,26629,0.625032859,669028917.4,1238990680,0.539978975,4360,24175,0.180351603,110016395.7,1165848778,0.094365923,15278,26629,0.573735401,657383756.3,1238990680,0.530580066,14335,25573,0.560552145,610000215,1177126338,0.518211338,2076,12409,0.167297929,60837313.97,449153007.9,0.135448974
